@RELATION comb2_new2

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL

@DATA
Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Year,DISTRICT
15,29,10,50,1,54,3,56
17,37,5,44,0,72,4,56
9,30,3,39,0,50,5,56
18,20,2,64,0,47,6,56
10,40,2,58,0,66,7,56
26,48,11,66,0,94,8,56
29,36,11,47,0,97,9,56
26,50,5,56,0,100,10,56
39,87,5,57,0,134,11,56
32,65,5,48,0,119,12,56
86,104,6,99,0,175,13,56
35,22,20,98,0,241,1,57
40,27,19,95,1,227,2,57
56,24,18,93,1,254,3,57
38,28,12,91,0,291,4,57
36,18,12,58,0,235,5,57
31,14,10,65,0,257,6,57
39,19,14,53,1,179,7,57
33,29,17,68,0,232,8,57
54,43,16,60,0,266,9,57
56,44,15,98,0,427,10,57
82,38,12,66,0,405,11,57
92,57,19,43,0,515,12,57
105,92,15,121,1,599,13,57
61,203,29,179,1,453,1,58
57,221,32,187,0,517,2,58
57,187,32,188,0,482,3,58
81,182,39,240,3,536,4,58
82,163,40,212,5,538,5,58
19,51,6,40,2,156,6,58
25,45,7,38,0,159,6,58
20,61,6,54,2,140,6,58
29,55,6,53,0,179,6,58
28,66,10,42,0,231,7,58
31,69,15,59,0,272,7,58
41,55,10,24,0,201,7,58
49,94,5,107,0,267,7,58
18,48,8,42,0,151,8,58
23,76,11,37,0,168,8,58
25,69,5,26,0,149,8,58
23,72,9,31,0,202,8,58
25,67,13,40,0,234,9,58
20,38,8,23,0,241,9,58
37,54,13,29,0,265,9,58
37,86,4,68,0,300,9,58
21,38,9,28,0,144,10,58
14,58,7,26,0,157,10,58
15,44,9,26,0,162,10,58
17,62,5,18,0,192,10,58
18,47,7,33,0,255,11,58
18,47,6,18,0,215,11,58
17,21,7,20,0,217,11,58
42,71,7,39,0,214,11,58
34,57,14,98,1,169,11,58
39,66,25,127,5,204,12,58
35,82,11,108,5,205,12,58
49,85,14,94,3,256,12,58
27,90,13,63,1,253,12,58
37,75,15,37,0,213,12,58
39,86,11,46,0,281,13,58
68,99,8,120,0,269,13,58
23,72,10,25,0,208,13,58
38,60,0,18,0,257,13,58
64,128,5,69,0,329,13,58
2,7,3,21,0,16,1,59
3,4,5,13,0,17,2,59
3,6,4,16,0,13,3,59
2,4,3,14,0,27,4,59
2,4,5,16,0,16,5,59
1,3,5,14,0,15,6,59
4,7,7,9,0,23,7,59
4,6,10,19,0,24,8,59
5,9,5,18,0,23,9,59
3,7,5,25,0,29,10,59
4,5,5,17,0,20,11,59
12,5,11,20,0,22,12,59
17,9,4,88,0,37,13,59
10,20,12,61,0,96,1,60
11,25,10,77,0,84,2,60
6,30,7,72,0,75,3,60
5,20,8,45,0,75,4,60
5,14,5,42,0,59,5,60
10,17,10,41,0,81,6,60
7,24,9,62,0,107,7,60
13,17,8,50,0,106,8,60
19,26,9,39,0,142,9,60
13,29,14,36,0,122,10,60
22,47,14,24,0,154,11,60
13,39,15,40,0,138,12,60
44,38,12,72,0,180,13,60
65,57,8,144,10,224,1,61
